Step,Train Loss,Validation Loss
0,1.5144014358520508,1.5066704750061035
1,1.527413010597229,1.4977525472640991
2,1.521083116531372,1.5114026069641113
3,1.5089755058288574,1.4983227252960205
4,1.5240838527679443,1.501713514328003
5,1.5304973125457764,1.5126036405563354
6,1.5054223537445068,1.5134109258651733
7,1.511985421180725,1.5033105611801147
8,1.5146559476852417,1.5168768167495728
9,1.5009726285934448,1.5209240913391113
10,1.507521390914917,1.5056664943695068
11,1.5147531032562256,1.5040380954742432
12,1.5214033126831055,1.5023635625839233
13,1.5084930658340454,1.5084142684936523
14,1.496942400932312,1.493996024131775
15,1.495271921157837,1.4975707530975342
16,1.5000064373016357,1.5037530660629272
17,1.4912985563278198,1.5012937784194946
18,1.498014211654663,1.5061191320419312
19,1.512457251548767,1.5023666620254517
20,1.492923617362976,1.498292088508606
21,1.4990371465682983,1.497165560722351
22,1.5089236497879028,1.514107346534729
23,1.5008797645568848,1.5158486366271973
24,1.507079005241394,1.5003753900527954
25,1.5097534656524658,1.507057785987854
26,1.5036941766738892,1.5016649961471558
27,1.4953198432922363,1.5086857080459595
28,1.519004225730896,1.513582706451416
29,1.4921352863311768,1.4881688356399536
30,1.5065432786941528,1.4941258430480957
31,1.5031667947769165,1.5013257265090942
32,1.507844090461731,1.4916027784347534
33,1.5006457567214966,1.4774844646453857
34,1.4868463277816772,1.4928274154663086
35,1.5038080215454102,1.4867788553237915
36,1.499405860900879,1.4907876253128052
37,1.5008174180984497,1.479846477508545
38,1.5025339126586914,1.491895318031311
39,1.5010528564453125,1.5000420808792114
40,1.4897488355636597,1.4935907125473022
41,1.494152545928955,1.4806830883026123
42,1.492564082145691,1.5022021532058716
43,1.5075918436050415,1.4860104322433472
44,1.4944326877593994,1.4898428916931152
45,1.4975292682647705,1.4811710119247437
46,1.5027976036071777,1.4771963357925415
47,1.5040591955184937,1.4883835315704346
48,1.484205961227417,1.5069525241851807
49,1.4981942176818848,1.484848976135254
50,1.4936590194702148,1.4832655191421509
51,1.478043794631958,1.4828845262527466
52,1.4849581718444824,1.4828877449035645
53,1.488637089729309,1.4838309288024902
54,1.4863930940628052,1.4873757362365723
55,1.4926539659500122,1.4890451431274414
56,1.5008622407913208,1.489280343055725
57,1.4805353879928589,1.472060203552246
58,1.4803433418273926,1.4868179559707642
59,1.500656008720398,1.4740173816680908
60,1.4826080799102783,1.4849215745925903
61,1.4729140996932983,1.4772460460662842
62,1.4667081832885742,1.4771043062210083
63,1.4905928373336792,1.4775335788726807
64,1.474831223487854,1.4884495735168457
65,1.4851760864257812,1.476049780845642
66,1.470051884651184,1.4905407428741455
67,1.4834213256835938,1.4811495542526245
68,1.4837270975112915,1.4685263633728027
69,1.4977660179138184,1.4663523435592651
70,1.4781471490859985,1.4705771207809448
71,1.480523705482483,1.486549735069275
72,1.469643235206604,1.4819492101669312
73,1.4689031839370728,1.478743553161621
74,1.4694933891296387,1.466799259185791
75,1.4796520471572876,1.4750720262527466
76,1.4636034965515137,1.470902681350708
77,1.4718557596206665,1.4719663858413696
78,1.4750453233718872,1.4903782606124878
79,1.4807236194610596,1.4828094244003296
80,1.4853112697601318,1.4831105470657349
81,1.474787950515747,1.4531131982803345
82,1.4829154014587402,1.4879155158996582
83,1.4718034267425537,1.45469331741333
84,1.4746146202087402,1.4671581983566284
85,1.4633291959762573,1.4834980964660645
86,1.4741668701171875,1.4686928987503052
87,1.4608230590820312,1.4595465660095215
88,1.4609042406082153,1.4791864156723022
89,1.4717111587524414,1.4670181274414062
90,1.4579436779022217,1.4685845375061035
91,1.488063097000122,1.458890676498413
92,1.468959927558899,1.478287696838379
93,1.4737555980682373,1.475409984588623
94,1.468928575515747,1.4786754846572876
95,1.4630181789398193,1.4790757894515991
96,1.459702968597412,1.4713152647018433
97,1.4822473526000977,1.4729763269424438
98,1.465832233428955,1.4577264785766602
99,1.4736785888671875,1.466288447380066
100,1.4707525968551636,1.4774242639541626
101,1.4525150060653687,1.4526437520980835
102,1.4724310636520386,1.4560760259628296
103,1.4599194526672363,1.4625272750854492
104,1.4675880670547485,1.4719620943069458
105,1.4642949104309082,1.4541974067687988
106,1.4679572582244873,1.4582171440124512
107,1.4645642042160034,1.451501488685608
108,1.4691522121429443,1.4624181985855103
109,1.4599640369415283,1.4566833972930908
110,1.4747631549835205,1.471225619316101
111,1.4707952737808228,1.4669947624206543
112,1.4532051086425781,1.4897230863571167
113,1.4615176916122437,1.4637548923492432
114,1.4605194330215454,1.4588969945907593
115,1.449033498764038,1.4683754444122314
116,1.4510626792907715,1.4548368453979492
117,1.4570995569229126,1.448327660560608
118,1.4759857654571533,1.4554704427719116
119,1.4688419103622437,1.4758552312850952
120,1.4721179008483887,1.4601166248321533
121,1.4583463668823242,1.4510793685913086
122,1.4640942811965942,1.4585353136062622
123,1.4605194330215454,1.4568904638290405
124,1.4524774551391602,1.4620835781097412
125,1.4635686874389648,1.4629034996032715
126,1.4510092735290527,1.4503620862960815
127,1.4441418647766113,1.4552698135375977
128,1.459867000579834,1.4562900066375732
129,1.4442863464355469,1.449520230293274
130,1.4491482973098755,1.4412736892700195
131,1.4581935405731201,1.4479087591171265
132,1.459567904472351,1.4558510780334473
133,1.4520063400268555,1.4560946226119995
134,1.444157361984253,1.4635543823242188
135,1.4617767333984375,1.4421807527542114
136,1.4555233716964722,1.4587697982788086
137,1.4598666429519653,1.4544988870620728
138,1.4491392374038696,1.4390122890472412
139,1.439639925956726,1.4460171461105347
140,1.4471876621246338,1.4454079866409302
141,1.4485505819320679,1.4614261388778687
142,1.453932523727417,1.4501228332519531
143,1.4529433250427246,1.4379147291183472
144,1.4513543844223022,1.4505735635757446
145,1.4412074089050293,1.455812692642212
146,1.4556269645690918,1.4570939540863037
147,1.4529809951782227,1.4395360946655273
148,1.4436743259429932,1.439933180809021
149,1.4612045288085938,1.4563182592391968
150,1.4529776573181152,1.4448022842407227
151,1.455277681350708,1.447546362876892
152,1.4424186944961548,1.4520341157913208
153,1.4484024047851562,1.461081862449646
154,1.4431861639022827,1.427980899810791
155,1.4449210166931152,1.4504855871200562
156,1.4425156116485596,1.4331958293914795
157,1.442244529724121,1.419478178024292
158,1.4490755796432495,1.4517477750778198
159,1.4437698125839233,1.443587064743042
160,1.4431670904159546,1.4427642822265625
161,1.4469764232635498,1.429816722869873
162,1.4348303079605103,1.4371347427368164
163,1.437973976135254,1.4174391031265259
164,1.4482978582382202,1.4445033073425293
165,1.4407249689102173,1.4403513669967651
166,1.4480572938919067,1.4314080476760864
167,1.4380892515182495,1.441835880279541
168,1.4409289360046387,1.4346246719360352
169,1.4379745721817017,1.4386886358261108
170,1.4327462911605835,1.4458801746368408
171,1.4338079690933228,1.4354808330535889
172,1.447227120399475,1.432883620262146
173,1.4348547458648682,1.4332516193389893
174,1.4410992860794067,1.4390552043914795
175,1.4412990808486938,1.4328631162643433
176,1.4339041709899902,1.4343146085739136
177,1.4422540664672852,1.4351962804794312
178,1.441868543624878,1.4499398469924927
179,1.4377986192703247,1.4427282810211182
180,1.4298489093780518,1.4363099336624146
